"idx","AID","address","lat","lon"
352,"A619991","45Th And Speedway in Austin (TX)",-1.0,-1.0
353,"A620089","Austin (TX)",-1.0,-1.0
354,"A620183","1220 Camino La Casta Drive in Austin (TX)",-1.0,-1.0
355,"A620189","Austin (TX)",-1.0,-1.0
356,"A620345","Austin (TX)",-1.0,-1.0
357,"A620420","13421 Alysheba Drive in Austin (TX)",30.171052,-97.611809
358,"A620546","Parker And Oltorf in Austin (TX)",-1.0,-1.0
359,"A620616","8503 Rosemary Lane in Austin (TX)",30.35015,-97.696921
360,"A620991","500 East 7 Th Street in Austin (TX)",-1.0,-1.0
361,"A621011","8402 Colony Loop in Austin (TX)",30.295343,-97.627247
362,"A621341","1070 Mearns Meadow in Austin (TX)",30.369414,-97.699383
363,"A622427","7004 Onion Creek Drive in Austin (TX)",30.171715,-97.743603
364,"A622498","5608 Cougar Drive in Austin (TX)",30.208965,-97.785407
365,"A622877","Austin (TX)",-1.0,-1.0
366,"A623261","Travis (TX)",-1.0,-1.0
367,"A623261","Austin (TX)",-1.0,-1.0
368,"A623261","Outside Jurisdiction",-1.0,-1.0
369,"A623261","Outside Jurisdiction",-1.0,-1.0
370,"A623261","Austin (TX)",-1.0,-1.0
371,"A623395","6806 Ali Cv in Austin (TX)",30.294083,-97.647178
372,"A623395","Austin (TX)",-1.0,-1.0
373,"A623526","Travis (TX)",-1.0,-1.0
374,"A623791","12138 N Lamar Blvd in Austin (TX)",30.399805,-97.683272
375,"A623794","Airport Boulevard And Bolm Road in Austin (TX)",-1.0,-1.0
376,"A624094","5901 East Stassney in Austin (TX)",30.191129,-97.730912
377,"A624298","Austin (TX)",-1.0,-1.0
378,"A624327","Austin (TX)",-1.0,-1.0
379,"A625412","1011 Newport Avenue in Austin (TX)",30.364435,-97.676699
380,"A625459","Austin (TX)",-1.0,-1.0
381,"A626029","William Cannon And South 1St in Austin (TX)",-1.0,-1.0
382,"A626141","2201 Willow Creek Dr in Austin (TX)",30.230486,-97.729845
383,"A626288","2308 Corta St in Austin (TX)",30.256518,-97.717881
384,"A626419","805 Huntingdon Pl in Austin (TX)",30.19584,-97.791542
385,"A626564","6605 Johnny Morris Cv in Austin (TX)",30.30538,-97.644093
386,"A626710","Austin (TX)",-1.0,-1.0
387,"A626769","Richmond And Lansing in Austin (TX)",-1.0,-1.0
388,"A626769","5112 South 1St in Austin (TX)",30.213841,-97.77814
389,"A627544","Austin (TX)",-1.0,-1.0
390,"A627698","Austin (TX)",-1.0,-1.0
391,"A628105","Austin (TX)",-1.0,-1.0
392,"A628106","Austin (TX)",-1.0,-1.0
393,"A628246","4100 South Ih 35 Frontage Road in Austin (TX)",-1.0,-1.0
394,"A628586","Austin (TX)",-1.0,-1.0
395,"A629185","6605 Johnny Morris Cv in Austin (TX)",30.30538,-97.644093
396,"A629187","6605 Johnny Morris Cv in Austin (TX)",30.30538,-97.644093
397,"A629556","Austin (TX)",-1.0,-1.0
398,"A629559","Austin (TX)",-1.0,-1.0
399,"A629726","Austin (TX)",-1.0,-1.0
400,"A629726","Outside Jurisdiction",-1.0,-1.0
401,"A629941","Austin (TX)",-1.0,-1.0
402,"A630573","4801 Aberdeen Dr in Austin (TX)",30.217794,-97.780756
403,"A631050","Travis (TX)",-1.0,-1.0
404,"A631292","Pearce Lane in Travis (TX)",-1.0,-1.0
405,"A631349","Langston Drive in Austin (TX)",-1.0,-1.0
406,"A632285","Depaul Cv And Dunbarton in Austin (TX)",-1.0,-1.0
407,"A632481","1615 E 7Th in Austin (TX)",-1.0,-1.0
408,"A632502","Travis (TX)",-1.0,-1.0
409,"A632641","600 East Rundberg in Austin (TX)",30.359268,-97.68949
